journal_name,issn,cas_partition,source_sheet
IEEE Communications Surveys and Tutorials,1553-877X,1,计算机科学
Science Robotics,2470-9476,1,计算机科学
Foundations and Trends in Machine Leamning,1935-8237,1,计算机科学
ACM COMPUTING SURVEYS,0360-0300,1,计算机科学
Nature Machine Intelligence,2522-5839,1,计算机科学
PROCEEDINGS OF THE IEEE,0018-9219,1,计算机科学
Annual Review of Control Robotics and Autonomous Systems,2573-5144,1,计算机科学
Foundations and Trends in Information Retrieval,1554-0669,1,计算机科学
Cyborg and Bionic Systems,2692-7632,1,计算机科学
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1,计算机科学
Information Fusion,1566-2535,1,计算机科学
IEEE Transactions on Industrial Informatics,1551-3203,1,计算机科学
IEEE TRANSACTIONS ON FUZZY SYSTEMS,1063-6706,1,计算机科学
IEEE-CAA Journal of Automatica Sinica,2329-9266,1,计算机科学
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,1,计算机科学
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1,计算机科学
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1051-8215,1,计算机科学
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,0736-5845,1,计算机科学
IEEE TRANSACTIONS ON MULTIMEDIA,1520-9210,1,计算机科学
Foundations and Trends in Systems and Control,2325-6818,1,计算机科学
IEEE TRANSACTIONS ON IMAGE PROCESSING,1057-7149,1,计算机科学
Computer Science Review,1574-0137,1,计算机科学
ACM TRANSACTIONS ON GRAPHICS,0730-0301,1,计算机科学
IEEE Transactions on Cybernetics,2168-2267,1,计算机科学
Nature Computational Science,2662-8457,1,计算机科学
INFORMATION PROCESSING MANAGEMENT,0306-4573,1,计算机科学
PATTERN RECOGNITION,0031-3203,1,计算机科学
CAAI Transactions on Intelligence Technology,2468-6557,1,计算机科学
Journal of Industrial Information Integration,2467-964X,1,计算机科学
Big Data Mining and Analytics,2096-0654,1,计算机科学
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1,计算机科学
IEEE Transactions on Robotics,1552-3098,1,计算机科学
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,0098-5589,1,计算机科学
